department,category,commodity,sub_commodity,id_upc,dsc_upc
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,2500005175,SIMPLY GRAPEFRUIT
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,2500005450,SIMPLY GRAPEFRUIT
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,4122058000,HEB SI RIO RED GRAPEFRUIT 52OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,4122086221,HEB RIO RED GRAPEFRUIT JUICE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,4122086222,HEB RIO RED GRPFRIT JUC W/CAL
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,40000134159,HEB RIO RED GRAPEFRUIT JUICE  
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,40000134160,HEB RIO RED GRPFRT JCE W CAL  
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,71279720012,INDIAN RIVER RUBY RED GRPFRT J
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,71279720059,INDIAN RIVER RUBYRED GRPFRT JU
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,76235705960,EVOLUTION EVL GRAPEFRUIT
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED GRAPEFRUIT,77134400922,BLK RVR PRE RED GRPFRUIT JUICE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,67305,HEB PREMIUM OJ 64 OZ-B1GIF
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1400000975,BORDEN ORANGE JUICE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630015114,FLORIDA!S NATURAL ORIGINAL OJ 
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630015121,FLORIDA!S NAT HOME SQUEEZED OJ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016504,FNOJ NO PULP OJ SS
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016564,FNOJ ORGINIAL NFC
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016565,FNOJ SOME PULP ORANGE JUICE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016574,FNOJ NO PULP
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016575,FNOJ W/ PULP
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016820,FNOJ NO PULP 52OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,1630016821,FNOJ SOME PULP 52OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500000003,SIMPLY ORANGE WITH MANGO SS
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500000024,SIMPLY ORANGE PULP FREE SS
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500000032,SIMPLY ORANGE MANGO SS
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500000375,SIMPLY ORANGE ORIGINAL SS
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500003208,SIMPLY ORANGE PULP FREE 4PK
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500004080,SIMPLY ORANGE WITH MANGO
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500004082,SIMPLY ORANGE W PINEAPPLE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500004400,SIMPLY OJ HIGH PULP 52 OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500004483,SIMPLY OJ MEDIUM PULP 52 OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005074,SIMPLY ORANGE W/BANANA
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005077,SIMPLY ORANGE W/TANGERINE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005280,SIMPLY ORG GROVE MADE 89OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005416,SIMPLY ORANGE CONTRY STND 52OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005433,SIMPLY ORANGE PULP FREE 89OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005437,SIMPLY ORANGE WITH MANGO
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005438,SIMPLY ORANGE WITH PINEAPPLE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005500,MIN MD PREM LIGHT OJ BEVERAGE 
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005542,SIMPLY ORG ORIG PULP FREE 52OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500005544,SIMPLY ORANGE HIGH PULP 52 OZ
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500010000,SIMPLY OJ NO PULP
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013025,SIMPLY OJ 4PK
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013420,SIMPLY ORANGE CALCIUM
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013422,SIMPLY ORANGE HIGH PULP
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013424,SIMPLY ORANGE PULP FREE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013663,SIMPLY ORANGE JUICE PULP FREE
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013665,SIMPLY ORANGE JUICE CALCIUM
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013667,SIMPLY ORANGE JUICE HIGH PULP
GROCERY,CHILLED JUICE,CHILLED ORANGE JUICE,CHILLED OJ PREMIUM,2500013673,SIMPLY ORANGE JUICE WITH MANGO
